index_code,con_code,trade_date,weight
000300.SH,000301.SZ,20250901,0.1087
000300.SH,601021.SH,20250901,0.1067
000300.SH,002459.SZ,20250901,0.1052
000300.SH,002180.SZ,20250901,0.1036
000300.SH,600085.SH,20250901,0.103
000300.SH,600600.SH,20250901,0.1025
000300.SH,300832.SZ,20250901,0.1023
000300.SH,601618.SH,20250901,0.102
000300.SH,600875.SH,20250901,0.101
000300.SH,600161.SH,20250901,0.0993
000300.SH,600188.SH,20250901,0.0974
000300.SH,600039.SH,20250901,0.097
000300.SH,688047.SH,20250901,0.0968
000300.SH,605117.SH,20250901,0.096
000300.SH,688223.SH,20250901,0.0948
000300.SH,603392.SH,20250901,0.0932
000300.SH,000876.SZ,20250901,0.0924
000300.SH,600845.SH,20250901,0.0922
000300.SH,600515.SH,20250901,0.0921
000300.SH,688599.SH,20250901,0.0902
000300.SH,601872.SH,20250901,0.0895
000300.SH,001965.SZ,20250901,0.0895
000300.SH,600027.SH,20250901,0.0885
000300.SH,600061.SH,20250901,0.0872
000300.SH,601898.SH,20250901,0.0866
000300.SH,600023.SH,20250901,0.0853
000300.SH,300999.SZ,20250901,0.0841
000300.SH,601698.SH,20250901,0.084
000300.SH,000999.SZ,20250901,0.0839
000300.SH,300316.SZ,20250901,0.0831
000300.SH,000983.SZ,20250901,0.083
000300.SH,600918.SH,20250901,0.0825
000300.SH,688303.SH,20250901,0.0822
000300.SH,300413.SZ,20250901,0.0809
000300.SH,300628.SZ,20250901,0.0801
000300.SH,601059.SH,20250901,0.0789
000300.SH,600332.SH,20250901,0.0779
000300.SH,603260.SH,20250901,0.0766
000300.SH,600803.SH,20250901,0.0726
000300.SH,601799.SH,20250901,0.0719
000300.SH,601238.SH,20250901,0.0713
000300.SH,600025.SH,20250901,0.068
000300.SH,601699.SH,20250901,0.0657
000300.SH,600018.SH,20250901,0.065
000300.SH,601607.SH,20250901,0.0644
000300.SH,688472.SH,20250901,0.0642
000300.SH,603806.SH,20250901,0.0642
000300.SH,600026.SH,20250901,0.0617
000300.SH,688009.SH,20250901,0.06
000300.SH,688082.SH,20250901,0.0581
000300.SH,601865.SH,20250901,0.0567
000300.SH,000708.SZ,20250901,0.0555
000300.SH,601236.SH,20250901,0.055
000300.SH,603195.SH,20250901,0.0532
000300.SH,688187.SH,20250901,0.0525
000300.SH,601136.SH,20250901,0.0486
000300.SH,603833.SH,20250901,0.0423
000300.SH,601808.SH,20250901,0.0347
000300.SH,300979.SZ,20250901,0.0332
000300.SH,000800.SZ,20250901,0.0293
000300.SH,600377.SH,20250901,0.0279
000300.SH,001391.SZ,20250901,0.0243
000300.SH,001289.SZ,20250901,0.0105
